entry_id,type,trigger_or_term,codex_rule_or_interpretation,status,evidence,owner_confirmation
R-001,review-rule,required-field-missing,Do not infer a required field; return needs-fact-confirmation,validated-10-examples,semiconductor-portfolio-audit.md,not-required
R-002,review-rule,standard-not-declared,Require standard edition scope match and evidence source before any conformance language,validated-10-examples,semiconductor-portfolio-audit.md,not-required
R-003,review-rule,site-specific-term,Preserve source wording and request a definition; do not normalize it into a technical parameter,validated-10-examples,semiconductor-portfolio-audit.md,not-required
R-004,review-rule,safety-action,Block a release scrap rework or process-change recommendation without approved authority and evidence,validated-adversarial-test,adversarial-release-test.md,not-required
R-005,review-rule,vendor-declaration-boundary,Do not treat vendor board declarations as evidence of conformity for a changed end-product configuration or market,validated-public-datasheet,../mock-data/goal6-arduino-uno-r4-wifi/goal6-audit.md,not-required
R-006,review-rule,test-plan-versus-result,A defined test matrix closes a planning gap but never satisfies a test-evidence gate until configuration-linked results exist,validated-training-profile,../mock-data/goal6-arduino-uno-r4-wifi/goal7-system-profile-and-test-matrix.md,not-required
R-007,review-rule,configuration-conflict,A pass result with a BOM firmware enclosure sensor-interface or cable-set mismatch is unusable and triggers blocked-by-conflict,validated-synthetic-evidence,../mock-data/goal6-arduino-uno-r4-wifi/goal8-audit.md,not-required
R-008,review-rule,change-control-retention,Preserve invalidated evidence and link it to the controlled change that superseded its configuration; never overwrite it,validated-synthetic-change-control,../mock-data/goal6-arduino-uno-r4-wifi/goal9-resolution/goal9-audit.md,not-required
R-009,review-rule,authorization-provenance,Keep review decision separate from operational authorization; synthetic critical evidence or a conflict always denies authorization,validated-unified-output-contract,../mock-data/goal6-arduino-uno-r4-wifi/goal10-audit.md,not-required
R-010,review-rule,unified-output-adversarial-regression,Normalize vendor claims ambiguous handovers and conflicting laboratory reports into the same manufacturing-gate/v1 contract; preserve the reason and never elevate missing authority to authorized,validated-3-constructed-cases,../mock-data/goal11-adversarial/verification-report.json,not-required
R-011,review-rule,single-operator-multisource-intake,One operator may register 1 to 20 source records per intake batch; preserve source identity revision scope configuration and provenance and route confirmation only to the referenced source owner,validated-contract-regression,../mock-data/goal12-operator-intake/tests/test_validate_multisource_intake.py,not-required
R-012,review-rule,factual-accuracy-measurement,Do not report source-anchored candidate labels as factual accuracy; score precision recall and unknown preservation only against human-ratified labels with page evidence,validated-scoring-regression,../mock-data/goal12-public-ground-truth/tests/test_score_atomic_fact_extraction.py,required
R-013,review-rule,ai-blind-consensus-provisional,When time prevents human ratification use three context-isolated agent passes only as a provisional AI consensus metric; score a candidate as correct only when value and cited page agree and never use the metric for operational authorization,validated-30-label-blind-audit,../mock-data/goal13-ai-consensus/ai-blind-consensus-report.md,not-required
T-001,terminology,tight ramp,Unknown site term in motor-control context,pending-source-owner,semiconductor-01-unusual-vocabulary.md,required
T-002,terminology,empty-can wiring,Unknown site term in wiring context,pending-source-owner,semiconductor-01-unusual-vocabulary.md,required
T-003,terminology,usual retry,Undefined retry sequence/policy,pending-source-owner,semiconductor-02-tacit-knowledge.md,required
T-004,terminology,normal display,Undefined HMI acceptance state,pending-source-owner,semiconductor-02-tacit-knowledge.md,required
